Number of Pickers,Cycle Time,Picker Utilization,Order Per Labour Hour,Throughput
4,29.739435,0.035421035,139.8861937,18.72317159
4,31.087336,0.037272352,141.3434841,19.05085254
4,30.803793,0.037328731,138.1954772,18.89307606
4,30.055735,0.035969134,136.8067718,18.19722962
4,31.102915,0.03766539,143.4034516,19.37766159
4,30.264395,0.034393944,140.1842086,17.89910688
4,30.371078,0.036625099,134.4425481,18.25462589
4,30.72432,0.038730393,135.5782707,19.03654512
4,29.86234,0.034570217,140.080586,18.17880987
4,29.82601,0.03684915,138.6482728,19.10632073
4,29.71874,0.035274374,138.0667378,18.38655968
4,30.497427,0.038660735,139.6974435,19.90407633
4,30.50414,0.035688203,138.5817817,18.10061589
4,30.916937,0.035820164,138.1555335,17.79250881
5,30.435648,0.028974353,138.4792554,18.58976005
5,29.197886,0.025210175,144.0957677,17.31803524
5,29.961288,0.028751598,139.3839282,18.54431814
5,30.285227,0.026656239,139.8318551,17.07796461
5,30.843725,0.029120414,139.6118263,18.52007569
5,29.406809,0.026854625,141.5657948,17.95376828
5,29.476095,0.026028102,142.8102395,17.46093332
5,30.40264,0.028395798,139.1611741,18.15204727
5,30.38163,0.029391869,138.1624847,18.59520767
5,30.573183,0.028265748,134.8085735,17.6395419
5,30.290766,0.029054994,136.4537362,18.32090759
5,30.37681,0.025917838,141.0228718,16.70462723
5,30.30423,0.026929657,138.6331548,17.21195145
5,29.143112,0.024563476,144.6631103,16.87064349
5,30.183802,0.029163565,139.9872257,19.04040743
5,29.917526,0.028308511,135.9415398,17.96337023
5,30.462143,0.028634546,134.0641273,17.58611754
5,30.57991,0.028758942,142.2345698,18.58406953
5,30.010628,0.028191804,141.5791665,18.4610951
5,29.479202,0.026142737,140.2638572,17.41764094
5,30.914001,0.028764932,141.7146463,18.47788559
5,29.842901,0.02519924,143.8350433,16.79432436
5,30.298498,0.027073629,139.7676656,17.30670684
5,30.641172,0.030066073,138.0678922,18.99603512
5,30.677023,0.0290872,139.8267982,18.46290441
5,30.797379,0.030035604,138.6539094,18.92025323
5,30.592377,0.028762521,136.231122,17.91442078
5,31.395273,0.03143545,137.6456316,19.45859776
6,30.879684,0.025294838,143.3334641,19.59569806
6,29.7994,0.022035528,139.8228492,17.28015663
6,30.286026,0.024405076,140.3459231,18.84515569
6,29.969599,0.025447998,137.9702155,19.57790186
6,30.230255,0.023076884,138.2575758,17.7538781
6,30.262243,0.0223491,142.1314361,17.55674976
6,31.066729,0.023650745,139.4718447,17.75622126
6,31.357803,0.02432825,140.3916588,18.59442902
6,31.441996,0.023998883,134.6291363,17.26847651
6,30.43511,0.023930469,141.0493651,18.59377138
6,31.145622,0.026011213,138.2017219,19.34514917
6,30.404398,0.02388119,138.6839748,18.36056744
6,29.92562,0.022182867,141.1719729,17.47886938
6,30.526232,0.025311946,138.9438097,19.43242842
6,29.871826,0.023702865,137.1617242,18.30052855
6,30.186678,0.022276156,145.131858,18.02753498
6,29.884338,0.023184009,138.6197517,17.95869928
6,29.849714,0.022860847,140.7306758,18.01347697
6,30.141047,0.023081142,140.6924821,18.08958177
6,30.30242,0.02428925,136.5669744,18.42968007
6,31.589912,0.026277856,140.8472903,19.59295537
6,30.317411,0.023024436,142.2449988,18.19261354
6,30.509531,0.025374855,138.7078905,19.3490553
6,30.365374,0.022738754,137.9132926,17.56076741
6,30.570124,0.024192947,137.0980725,18.2218045
6,30.319448,0.025859836,135.9949414,19.37925927
6,30.814718,0.026414201,137.5908872,19.88591567
6,29.606379,0.021629268,144.2912961,17.42625958
7,31.159578,0.022525892,138.2341753,19.32948853
7,29.779257,0.020811959,136.3539917,18.63064464
7,30.789337,0.020299117,139.5999187,17.99281917
7,30.31716,0.021689305,143.3271778,20.01247354
7,29.785486,0.019684214,138.5383576,18.07702493
7,30.010157,0.020974237,143.0577785,19.64534419
7,30.139776,0.021503772,136.8684975,19.09371249
7,29.626204,0.020184666,140.0693131,18.50610662
7,30.623087,0.020895101,136.0338316,18.12181473
7,29.970972,0.020134148,136.5864208,17.94538393
7,30.038942,0.021063559,139.8759504,19.31070932
7,30.801962,0.02041162,139.0338092,17.9446945
7,30.46431,0.021793925,139.2786613,19.58438344
7,30.054777,0.022017815,141.253832,20.18318036
7,30.792639,0.020966859,137.0188394,18.36952102
7,30.079687,0.019634917,139.6572679,17.854983
7,30.111277,0.020464438,141.6762678,18.84900658
7,30.10811,0.021134055,136.6117561,18.78921667
7,29.958338,0.020116776,137.7385105,18.1461102
7,29.922714,0.019294353,141.7767486,17.76985019
7,30.776482,0.020432729,138.3718515,18.13261887
7,30.776743,0.021251294,138.6029472,18.79330423
7,30.639334,0.022047556,138.0873251,19.21369946
7,30.574394,0.021616174,137.1336533,18.98465746
7,30.429916,0.020166771,139.9908774,18.227574
7,29.972855,0.021226099,138.2803567,19.08135531
7,30.442545,0.021284922,142.3231614,19.36732626
