Batch Size Zone 1,Batch Size Zone 2,Batch Size Zone 3,Average Cycle Time,Picker Util,Order per labour hr,Warehouse Throughput
4,2,2,487.29932,0.031093783,218.2545503,19.99184817
4,2,2,565.51935,0.027575948,214.1286166,17.76210594
4,2,2,461.2313,0.031115285,215.8089041,19.55097462
4,2,2,455.42105,0.031123972,218.5327758,19.88979112
4,2,2,462.9835,0.027622678,218.2690937,17.68764889
4,2,2,512.127,0.030313721,210.4411977,18.98468425
4,2,2,510.44894,0.030512944,215.5031637,19.22555308
4,2,2,457.9308,0.030804272,215.1667577,19.58419304
4,2,2,503.04062,0.027816329,219.9125984,17.67574209
4,2,2,514.25226,0.029718038,222.5936149,18.66680967
4,2,2,537.9179,0.025834348,221.5668467,16.60167344
4,2,2,500.29263,0.026885081,220.6150296,17.42564382
4,2,2,474.05576,0.029605326,220.3207269,18.96220595
4,2,2,492.36206,0.029404017,212.2160446,18.47307441
4,2,2,491.053,0.030233841,224.4970213,19.95987087
4,2,2,558.89044,0.029353253,212.9475088,18.18045604
4,2,2,502.47055,0.028361468,225.6214904,18.42030871
4,2,2,494.45654,0.030829671,211.6867844,18.96973131
4,2,2,526.31433,0.025326309,225.7130293,16.96174285
5,2,2,631.59686,0.027777533,221.4230596,18.39322572
5,2,2,629.98395,0.028870914,224.2309197,18.66929872
5,2,2,649.39795,0.025098196,230.8267631,17.33125702
5,2,2,624.0537,0.028258773,223.8361817,18.68542304
5,2,2,549.42535,0.02892415,222.6879015,19.14527786
5,2,2,572.00745,0.028563658,228.0632711,18.9898115
5,2,2,676.45325,0.027895751,218.3806857,17.73468508
5,2,2,596.3427,0.026436463,235.4378275,17.87905946
5,2,2,648.73285,0.026708086,229.4709525,18.09791227
5,2,2,611.15533,0.027725295,227.6136651,18.78925088
5,2,2,638.50323,0.026302512,224.6383084,17.36947054
5,2,2,540.603,0.028262565,223.6103818,18.7504377
5,2,2,571.6284,0.027447538,223.5604285,18.10752687
5,2,2,589.53925,0.027429709,232.9485093,18.92787011
5,2,2,530.17706,0.030095107,228.7934885,20.07706153
5,2,2,614.8774,0.026657668,226.7704365,17.76797157
5,2,2,615.2881,0.026254297,225.7179681,17.33399762
5,2,2,609.3759,0.026133734,220.6013507,17.0726196
5,2,2,599.6337,0.028561802,229.0319513,18.99256171
5,2,2,595.0886,0.028544678,228.1607711,19.32936681
5,2,2,582.28925,0.027751273,226.871983,18.54029545
5,2,2,603.97784,0.024930998,231.232643,17.11258144
5,2,2,611.5315,0.027398787,225.6538895,18.34479482
5,2,2,634.6391,0.028141896,221.6524451,18.63790718
