Batch Size,Average Cycle Time,Picker Utilization,Orders per labour Hour,Warehouse Throughput
9,978.34247,0.093998462,187.5030677,17.76685756
9,972.6193,0.093508463,182.726661,17.31003679
9,923.6809,0.093121748,193.2953405,18.0801451
9,999.76855,0.100511225,179.0844751,18.02513091
9,964.33026,0.100872933,178.4423174,18.0491948
9,934.3614,0.102064004,183.7082551,19.07476203
9,851.6717,0.107777386,184.4078866,20.32077184
9,1081.4136,0.0873759,184.5474561,16.41965167
9,949.48,0.090973436,189.6157911,17.61901147
9,1053.9642,0.091219041,180.8832871,16.71674704
9,966.04144,0.0974641,184.6833857,18.36965914
9,960.69867,0.102404373,186.7596021,19.25333984
10,1107.814,0.093215812,196.6762172,18.67550007
10,1168.5361,0.088519934,188.2815089,16.81015032
10,1045.7545,0.097267795,188.4830775,18.6163212
10,1064.1753,0.097621021,192.0692887,18.82879197
10,1097.003,0.093939929,186.2892614,17.84237758
10,1074.2247,0.099601161,188.2508182,18.92363764
10,980.4012,0.105740165,185.2024102,19.93891682
10,1067.145,0.091331623,191.6094266,17.83908021
10,1097.1295,0.092050413,190.1132151,17.74772068
10,1142.261,0.091704115,186.2875325,17.40976371
10,1081.3531,0.098887962,185.3949962,18.43879791
10,1088.8715,0.094833925,185.438397,18.07898845
10,1141.0767,0.087019904,191.5270627,16.89178802
10,1172.2584,0.09533584,179.1910935,17.3461272
10,1069.4371,0.101015723,181.489899,18.68275182
10,1053.264,0.097199633,188.6152523,18.63437952
10,1033.2388,0.096482472,194.3358173,19.11234985
10,1042.3315,0.098492804,190.3692378,19.19460674
10,1046.3236,0.103067952,177.876178,18.57073403
10,1107.957,0.093936599,186.2958654,17.61870039
10,1077.4435,0.097786458,187.4833562,18.72851954
10,1146.1427,0.098150654,178.297335,17.65037568
10,1068.3618,0.102732385,182.5130412,19.22823654
10,1119.4425,0.093849274,184.4636317,17.4666387
10,1086.6724,0.089132368,196.3372044,17.64760241
10,1027.3429,0.105607245,185.4355096,19.68842338
10,1065.2411,0.101473565,184.7771888,18.87626154
10,1128.0359,0.082585078,191.7214785,16.0942221
