Number of Pickers,Cycle Time,Picker Utilization,Order Per Labour Hour,Throughput
2,611.89105,0.040087585,242.6694873,19.02533757
2,685.08984,0.036489195,243.213322,17.47923066
2,774.9367,0.037064513,250.1459052,17.92522064
2,655.1615,0.038664395,246.2632171,18.52088369
2,665.36536,0.039330494,249.8767648,18.54182641
2,637.7453,0.039506839,242.2915484,18.80010507
2,700.9326,0.038881202,246.4766936,18.8077135
3,733.2077,0.024342718,245.9051324,17.70176908
3,700.20245,0.025188604,246.5389965,18.17087144
3,710.1087,0.027288716,239.8837135,19.34202961
3,634.22974,0.025795829,247.4499279,19.21372647
3,666.4709,0.026264446,244.7568463,18.77123058
3,684.2085,0.023796178,238.007455,16.69403912
3,768.9661,0.023310862,245.464486,16.82712111
3,695.9612,0.0266878,249.8138485,19.25201347
3,648.22864,0.026333943,245.624711,19.11570422
3,718.93823,0.023895484,247.3997668,17.50055701
3,651.51337,0.024878654,246.1511428,18.23306674
3,636.3759,0.027482957,248.8289686,20.18014542
3,645.1004,0.026977122,243.2156093,19.53528731
3,657.43005,0.025895244,243.4209694,18.56417302
3,679.7875,0.025566459,242.0564698,18.24121179
3,657.96405,0.025199634,241.0011279,18.06339221
3,794.6087,0.022800291,248.9253821,16.87992709
3,663.8786,0.026574149,249.4642996,19.55093577
3,669.3729,0.02485822,248.1466528,17.65443432
3,682.3979,0.025712143,241.1321287,18.53806204
3,687.20703,0.025928196,249.6017631,19.10256767
3,751.2443,0.024308971,244.136817,17.76300961
3,662.62555,0.025117533,250.9130675,18.24844232
3,680.61945,0.026031607,249.7831933,19.0752912
3,677.6919,0.025671384,242.811257,18.58206478
3,657.0764,0.027132378,240.3721829,19.35938247
3,689.0998,0.024308578,240.595332,17.35384543
3,786.96924,0.023518018,248.2399467,17.52387709
4,704.9328,0.018998559,248.005839,18.54450277
4,677.8087,0.018861583,252.9455603,18.79323463
4,672.2801,0.01757552,245.24134,17.21287256
4,585.5872,0.020509935,244.6392766,19.38437618
4,797.7365,0.01795024,241.8711102,17.17734764
4,637.29553,0.019839621,246.8929927,19.89860285
4,759.5376,0.01752551,250.5103008,17.20814444
4,664.9329,0.018726146,242.6887187,17.73189919
4,717.1807,0.018655997,243.7843256,18.01240743
4,638.13226,0.019496033,246.5449361,19.607018
4,684.0779,0.018930289,243.3466164,18.31723362
4,654.493,0.020578214,246.7765115,20.16328436
4,618.86884,0.020786924,246.6252073,19.94772544
4,721.34796,0.017873088,248.3037015,17.42948183
4,734.80054,0.018777132,248.717085,18.10005544
4,745.03516,0.018801451,248.6912876,18.63930021
4,695.5903,0.019101783,243.0033549,18.40848029
4,583.75714,0.022077258,249.7845483,21.27660687
4,690.24347,0.020447655,244.3906048,19.46782698
4,733.06525,0.017331337,244.7475907,16.86124546
4,682.1167,0.018359242,244.7183405,17.91414511
4,670.72296,0.020469169,245.9191823,19.74564599
4,680.78217,0.019532306,244.6044168,18.96004036
4,708.41144,0.01937798,248.7452209,18.74543299
4,704.57104,0.018729652,247.2892083,17.94968791
4,682.9998,0.019748348,247.3352642,19.18830408
4,650.69293,0.019739762,244.9133335,19.21172767
4,715.9719,0.018166772,250.0233817,17.74537303
5,721.1057,0.014842481,240.8523259,17.73660635
5,697.22565,0.014771284,245.8442365,18.04042453
5,664.7452,0.015431826,244.1374876,18.44076912
5,699.0252,0.015269573,246.7420257,17.97723087
5,728.4927,0.014201089,242.8394675,16.87500298
5,601.1993,0.015184128,247.5205497,18.59984394
5,736.2534,0.013882017,254.8308913,17.1730448
5,723.77295,0.015278713,242.9190505,18.31204481
5,716.6347,0.015234883,243.7636783,18.13732178
5,677.602,0.015682094,243.5724507,18.83291366
5,739.00775,0.014613837,243.1963285,17.77504677
5,684.08954,0.015155694,247.2249489,18.54794417
5,652.82404,0.015948178,242.7303266,19.20789937
5,668.48157,0.015611337,243.250522,18.75451285
5,702.7015,0.014931584,247.4041614,17.98694835
5,796.1009,0.015107464,249.4912372,18.52916487
5,802.9948,0.014366088,243.7213737,17.54701833
5,631.81366,0.015987234,245.9127042,19.00418238
5,734.0056,0.014114841,246.3189745,17.23775264
5,744.0832,0.014926248,243.3452053,17.85515788
5,620.8674,0.01754459,244.3817189,20.47599377
5,705.67755,0.015353947,243.0079311,18.32657231
5,667.80914,0.015520146,241.9777678,18.66987792
5,645.6982,0.015519769,242.1426638,18.55843094
5,838.08344,0.01385176,244.4308728,16.87165989
5,771.69904,0.014233964,247.0103336,17.46930852
5,697.10785,0.014379968,244.4146207,17.59453204
5,651.7089,0.0146844,246.2722724,17.7806816
6,656.1656,0.012469545,247.581284,18.44011973
6,634.1131,0.013299926,245.8387442,19.35635107
6,752.3115,0.012016629,245.5178716,17.37709333
6,700.3371,0.012262294,244.9860706,17.87523576
6,619.69336,0.013964614,240.0236085,19.76332424
6,661.6519,0.012085961,245.430783,17.47999897
6,594.4605,0.01386512,243.8509098,19.97501899
6,639.3814,0.013514434,241.9488968,19.18299294
6,736.29144,0.012131287,250.3651481,17.55294477
6,694.5032,0.012364775,255.7814357,18.05479344
6,713.3763,0.011368356,252.3832278,16.77960141
6,761.6333,0.011902093,246.6445037,17.47168782
6,683.66815,0.013454191,247.6215967,19.39237904
6,727.21747,0.011746453,243.8450698,17.15284572
6,747.3382,0.011972262,243.3770053,17.18679127
6,606.9399,0.012788602,249.8354391,18.82160262
6,758.4372,0.011214454,250.7542685,16.82427706
6,659.5997,0.012041342,244.8488963,17.52233752
6,642.1122,0.012667713,242.6627872,18.17976158
6,651.85406,0.013090655,245.917093,18.77948845
6,739.4357,0.011558697,244.0725539,16.90359398
6,709.5149,0.012171337,249.1001663,18.02777064
6,754.58057,0.011864225,240.69049,17.07420335
6,626.7574,0.013499156,247.63353,19.9324031
6,606.43164,0.012881897,244.8164783,18.48474616
6,701.23004,0.012726585,242.4949882,18.23424653
6,730.92596,0.011835146,250.8440077,17.55983154
6,739.3156,0.011372318,241.8412324,16.3939297
7,638.1914,0.011301558,245.2431822,18.95117736
7,668.7041,0.010746412,242.138722,17.86715201
7,689.4423,0.010929476,244.3454595,18.52868158
7,731.64825,0.011027728,249.1687386,18.98823787
7,616.1073,0.01090892,243.1783734,18.17826533
7,649.4944,0.010322032,240.1603107,17.19929949
7,738.0838,0.011208149,244.8417492,18.80706161
7,676.8017,0.010389155,244.5073139,17.70871926
7,699.4424,0.011125742,245.5832812,18.54671263
7,675.123,0.010827973,239.9429646,17.80898187
7,666.6958,0.010735844,248.4363636,18.34461163
7,704.7773,0.010618132,251.3954768,18.13773815
7,652.53375,0.010659065,245.1030341,18.10663512
